GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
1,13,658,51,54,36,3063,2.000,5.95,10.42,4.372,1.363,65.005,17.161
0,12,1644,51,54,33,3072,22.000,5.84,10.46,4.592,1.381,73.289,29.030
1,17,842,51,54,37,3088,27.000,3.74,10.54,4.128,1.372,79.076,27.652
1,15,1020,51,54,36,3093,29.000,5.69,10.66,3.949,1.375,76.445,31.408
0,15,198,51,54,32,3101,28.000,4.93,10.73,3.956,1.385,76.699,31.777
1,25,500,51,54,34,3105,26.000,5.65,10.83,4.606,1.385,74.493,26.928
0,8,660,51,53,35,3112,28.000,2.21,10.91,3.659,1.384,74.721,24.961
0,9,672,50,54,33,3112,30.000,7.38,11.01,4.478,1.390,76.535,32.044
0,6,730,51,53,30,3112,24.000,7.20,11.11,4.245,1.404,75.861,23.208
0,7,218,50,53,31,3118,24.000,6.53,11.20,4.475,1.403,76.081,21.723
0,5,264,51,53,29,3120,27.000,5.73,11.36,4.149,1.400,74.841,21.817
0,0,22,50,53,17,3120,4.000,6.81,11.53,4.976,1.399,78.641,21.351
0,7,474,51,54,39,3496,7.000,4.68,11.42,3.228,1.396,79.044,20.644
12,122,110,50,53,17,3522,3.000,6.16,11.48,3.356,1.363,65.546,18.062
0,4,196,50,53,27,4124,19.000,5.48,11.49,3.698,1.373,65.673,18.517
0,0,22,50,53,19,4140,3.000,2.73,11.49,3.816,1.382,71.233,22.629
0,1,88,50,53,24,4140,3.000,1.13,11.41,4.335,1.384,78.101,24.041
0,0,130,50,53,14,4140,3.000,2.21,11.41,2.140,1.382,65.685,28.067
10,82,54,50,53,22,4140,3.000,2.19,11.42,2.196,1.384,65.955,30.062
1,24,652,51,53,26,4143,3.000,0.12,11.42,1.941,1.386,66.278,28.342
35,1919,1630,50,53,42,4206,3.000,5.03,11.45,2.323,1.385,69.235,28.563
97,2243,1990,62,81,280,4222,99.000,3.78,11.45,2.998,1.376,69.212,27.372
99,2229,1988,63,83,281,4229,97.000,0.00,11.46,2.821,1.352,59.793,33.950
98,2230,1988,64,83,281,4240,96.000,2.97,11.45,2.646,1.352,59.635,34.122
98,2226,1990,64,84,280,4245,94.000,3.31,11.46,2.720,1.356,60.230,34.696
98,2225,1988,64,83,280,4250,92.000,2.20,11.45,2.700,1.355,60.114,33.861
98,2221,1988,64,84,281,4254,90.000,1.96,11.46,2.728,1.352,60.151,33.172
97,2217,1990,65,85,280,4255,89.000,2.45,11.45,2.629,1.354,60.233,32.980
99,2208,1990,65,84,281,4256,87.000,3.16,11.45,2.445,1.345,59.177,31.373
98,2208,1990,66,85,281,4261,87.000,2.53,11.45,2.607,1.348,59.601,31.667
99,2208,1988,65,85,281,4266,88.000,0.24,11.45,2.549,1.346,59.118,31.656
99,2208,1988,65,85,281,4266,89.000,2.68,11.46,2.687,1.350,59.618,32.309
97,2222,1988,65,84,280,4266,88.000,3.09,11.39,2.601,1.346,59.356,32.073
98,2217,1988,66,83,281,4266,89.000,0.21,11.40,2.747,1.357,60.667,34.453
98,2212,1988,66,85,280,4266,83.000,3.63,11.40,2.541,1.355,59.936,33.255
99,2219,1990,66,84,281,4266,78.000,2.53,11.40,2.579,1.353,60.198,32.630
99,2189,1988,66,86,280,4266,76.000,0.46,11.39,2.491,1.345,59.011,31.123
99,2184,1988,67,87,280,4266,75.000,4.04,11.40,2.566,1.349,59.734,31.005
99,2184,1988,67,87,280,4266,75.000,4.04,11.40,2.566,1.349,59.734,31.005
99,2185,1988,66,86,280,4268,74.000,3.37,11.40,2.400,1.342,58.579,30.162
99,2175,1988,66,86,281,4269,73.000,0.00,11.40,2.552,1.346,59.540,31.011
99,2177,1988,67,87,280,4269,71.000,1.79,11.39,2.523,1.338,58.458,30.172
99,2178,1988,66,85,281,4269,71.000,2.43,11.40,2.467,1.343,59.538,30.759
99,2169,1988,67,86,281,4271,71.000,3.05,11.40,2.442,1.338,58.754,29.658
99,2180,1988,67,86,280,4272,72.000,0.83,11.40,2.428,1.347,59.829,30.930
98,2180,1988,67,87,280,4278,75.000,1.16,11.39,2.391,1.337,58.361,29.509
99,2217,1988,67,85,280,4283,84.000,3.15,11.40,2.966,1.356,62.120,35.837
99,2220,1988,67,85,281,4286,84.000,0.84,11.40,3.694,1.376,68.097,45.848
99,2216,1990,67,84,280,4286,84.000,3.65,11.40,3.796,1.376,69.627,46.578
99,2222,1988,67,85,280,4286,84.000,5.64,11.40,3.638,1.375,69.125,46.253
99,2221,1990,67,85,280,4287,84.000,5.51,11.40,4.042,1.376,70.130,47.058
99,2220,1988,67,85,281,4287,84.000,1.59,11.40,3.761,1.375,69.465,46.850
99,2216,1988,67,86,281,4288,84.000,4.18,11.40,3.936,1.371,70.222,46.584
99,2218,1988,67,85,281,4289,80.000,4.64,11.40,3.739,1.373,69.710,47.182
99,2182,1988,67,86,280,4289,73.000,4.30,11.40,3.919,1.373,70.352,46.467
99,2190,1988,68,86,280,4290,73.000,1.96,11.40,3.544,1.365,69.074,44.866
99,2194,1988,67,87,280,4292,73.000,4.78,11.40,3.614,1.367,69.418,45.060
99,2185,1988,68,87,282,4293,73.000,5.00,11.40,3.669,1.363,68.505,44.756
99,2193,1988,68,87,281,4293,73.000,2.21,11.40,3.758,1.372,69.987,46.608
99,2210,1990,68,86,281,4294,61.000,4.52,11.40,3.563,1.368,69.109,46.097
92,2220,1986,68,88,282,4294,47.000,4.64,11.40,3.766,1.367,70.144,46.742
86,2100,1988,67,84,277,4294,46.000,1.24,11.40,4.135,1.377,71.411,51.254
85,2047,1986,68,86,280,4294,47.000,2.07,11.40,4.179,1.377,72.117,50.093
79,2034,1982,68,86,280,4295,47.000,3.66,11.40,3.977,1.373,71.974,50.483
82,2051,1984,68,85,275,4295,47.000,1.79,11.40,3.960,1.378,72.185,51.517
97,2243,1988,68,89,282,4296,47.000,0.12,11.40,3.995,1.379,72.179,51.520
96,2249,1988,69,88,281,4296,47.000,3.78,11.40,4.192,1.376,72.803,51.190
94,2227,1988,68,87,281,4297,47.000,2.58,11.40,4.036,1.375,72.123,49.984
94,2183,1988,69,87,279,4299,48.000,0.11,11.40,4.102,1.378,72.561,50.819
96,2241,1988,68,87,281,4299,47.000,2.91,11.40,4.078,1.376,71.390,50.028
97,2255,1988,68,87,281,4300,47.000,1.61,11.40,4.142,1.379,72.330,50.737
96,2237,1988,68,88,282,4301,47.000,0.91,11.40,4.191,1.378,72.377,51.043
95,2241,1990,69,88,281,4301,46.000,3.72,11.40,4.117,1.382,73.272,51.572
92,2194,1986,69,87,281,4304,46.000,3.97,11.40,4.044,1.377,72.760,50.446
86,2196,1988,68,88,283,4304,46.000,3.71,11.40,4.112,1.378,73.392,50.707
96,2243,1988,69,87,281,4304,46.000,0.12,11.40,3.941,1.375,71.975,49.343
80,2093,1988,69,89,280,4306,46.000,3.59,11.40,3.991,1.378,72.943,50.253
98,2247,1988,69,87,281,4307,47.000,4.70,11.40,3.846,1.374,72.041,49.262
94,2165,1986,70,87,279,4307,54.000,1.02,11.40,3.767,1.378,72.560,50.915
99,2259,1990,68,86,280,4307,73.000,4.75,11.39,3.936,1.374,72.573,49.851
99,2267,1988,69,86,281,4309,73.000,3.56,11.40,3.894,1.369,73.618,49.306
99,2247,1988,70,87,281,4309,73.000,2.84,11.39,4.096,1.367,73.750,49.075
99,2243,1990,69,86,280,4309,73.000,1.52,11.40,3.747,1.368,73.561,49.107
99,2238,1988,69,86,280,4311,72.000,2.50,11.39,3.983,1.368,73.414,48.898
99,2235,1988,69,87,280,4312,71.000,3.15,11.40,3.848,1.364,73.290,48.045
95,2237,1988,69,87,280,4312,68.000,3.07,11.39,3.905,1.369,73.419,48.426
99,2250,1988,69,88,282,4313,67.000,0.43,11.39,4.059,1.369,73.959,50.120
99,2249,1988,69,88,282,4314,66.000,4.12,11.39,4.095,1.367,73.696,49.946
98,2242,1988,70,87,281,4314,65.000,3.65,11.39,4.320,1.365,74.366,50.119
96,2228,1988,69,89,280,4316,65.000,2.34,11.39,4.173,1.365,73.992,49.578
99,2227,1988,70,88,282,4317,64.000,6.08,11.39,3.977,1.368,73.590,49.963
99,2190,1988,70,89,280,4317,59.000,2.02,11.39,3.971,1.366,74.137,50.058
99,2175,1988,70,89,281,4319,58.000,0.51,11.39,3.064,1.351,68.058,39.283
99,2187,1988,70,90,280,4319,58.000,2.30,11.39,2.766,1.355,65.259,37.608
99,2185,1988,71,91,281,4320,58.000,3.93,11.39,2.986,1.353,66.348,37.361
99,2190,1990,71,88,280,4320,58.000,3.39,11.39,3.170,1.364,67.266,39.637
99,2194,1988,70,92,281,4320,57.000,2.34,11.39,3.483,1.358,67.610,39.838
99,2181,1988,70,90,280,4320,57.000,4.22,11.39,3.393,1.367,68.507,42.199
99,2199,1990,70,89,280,4320,57.000,4.95,11.39,3.809,1.369,70.566,43.794
99,2194,1988,70,88,281,4323,57.000,2.87,11.39,3.781,1.370,71.487,45.172
99,2181,1990,70,89,281,4323,57.000,5.04,11.39,3.993,1.367,72.206,45.534
99,2181,1990,70,89,281,4324,57.000,5.32,11.39,4.075,1.365,73.055,46.564
99,2181,1988,70,90,280,4324,67.000,5.58,11.39,4.197,1.366,73.840,47.705
98,2237,1988,71,89,280,4324,68.000,2.88,11.39,4.484,1.364,72.946,48.888
96,2186,1988,71,90,279,4324,65.000,4.78,11.40,4.479,1.364,73.569,48.991
94,2219,1988,71,90,282,4324,64.000,1.46,11.39,4.303,1.362,73.721,48.676
92,2229,1988,71,90,281,4324,61.000,3.54,11.40,4.510,1.361,73.910,49.105
73,2089,1990,71,91,282,4324,59.000,1.80,11.39,4.492,1.363,74.053,49.089
81,2004,1986,71,90,279,4324,57.000,2.74,11.40,4.350,1.365,74.678,49.067
66,2063,1990,71,89,269,4325,56.000,2.92,11.40,4.450,1.367,74.583,49.255
85,2161,1992,70,88,271,4325,55.000,0.62,11.40,4.145,1.366,75.237,49.360
57,1594,1986,70,88,255,4325,55.000,3.13,11.39,4.560,1.368,74.596,49.519
65,1710,1984,70,87,258,4325,54.000,2.43,11.39,4.419,1.364,74.654,48.935
63,1815,1986,70,87,254,4325,51.000,4.42,11.39,4.492,1.366,74.541,49.359
66,1820,1986,68,83,220,4325,35.000,3.21,11.40,4.487,1.374,74.596,50.347
52,1563,1990,67,80,208,4325,36.000,1.78,11.39,4.370,1.369,73.056,49.070
37,1281,1982,67,82,196,4325,35.000,3.61,11.40,4.439,1.369,73.100,48.484
30,1222,1974,66,78,189,4328,38.000,5.03,11.39,4.374,1.374,72.224,47.903
37,1187,1978,67,78,192,4328,38.000,2.64,11.40,4.427,1.377,72.483,48.412
34,1332,1984,67,79,189,4328,38.000,2.53,11.39,4.711,1.383,72.814,48.411
49,1593,1990,66,78,188,4328,37.000,4.98,11.40,4.588,1.378,72.172,47.142
51,1560,1996,66,77,182,4329,37.000,2.86,11.39,4.375,1.376,72.174,46.909
37,1279,1992,65,77,176,4329,37.000,2.23,11.40,4.431,1.377,71.864,46.414
44,1285,1978,66,77,177,4329,40.000,2.96,11.39,4.527,1.389,72.226,48.797
61,1685,1982,66,78,203,4329,65.000,3.78,11.40,4.372,1.381,72.129,46.837
39,1250,1986,67,81,202,4329,65.000,2.54,11.39,4.569,1.383,72.752,48.170
44,1348,1992,67,79,200,4331,64.000,4.52,11.39,4.282,1.379,72.359,46.899
64,1790,1996,67,79,205,4332,64.000,5.45,11.39,4.320,1.381,72.151,46.922
39,1179,1988,66,78,196,4332,63.000,2.06,11.39,4.169,1.379,71.518,45.970
36,1176,1986,67,79,195,4332,62.000,1.73,11.39,4.147,1.378,71.852,45.943
51,1443,1978,66,79,193,4332,59.000,3.01,11.39,4.386,1.378,72.082,45.636
43,1395,1988,66,81,197,4332,59.000,3.80,11.39,4.317,1.378,72.005,45.177
36,1171,1982,67,82,209,4333,55.000,1.93,11.39,4.694,1.366,73.792,48.809
60,1642,1984,67,79,214,4334,55.000,5.91,11.39,4.231,1.348,74.342,52.519
60,1581,1980,67,82,212,4334,55.000,5.75,11.39,4.476,1.351,74.463,51.893
56,1531,1984,67,79,211,4334,55.000,0.43,11.39,4.538,1.352,74.410,52.417
41,1283,1990,67,82,206,4334,53.000,5.12,11.39,4.274,1.354,74.534,51.652
41,1252,1984,67,81,205,4334,53.000,1.20,11.39,4.251,1.356,74.074,51.322
42,1256,1980,67,80,207,4334,53.000,3.10,11.39,4.255,1.357,74.209,50.616
48,1372,1984,67,83,214,4334,53.000,4.56,11.39,4.482,1.360,74.715,50.483
69,1740,1998,67,82,225,4334,60.000,1.52,11.39,4.640,1.348,74.411,50.876
99,2176,1988,70,88,280,4334,97.000,3.77,11.39,4.259,1.348,74.798,52.827
98,2218,1988,71,90,280,4334,118.000,3.00,11.39,3.364,1.367,71.446,47.421
99,2210,1988,71,90,281,4335,108.000,3.46,11.39,3.707,1.376,70.893,47.262
99,2199,1988,71,89,280,4336,90.000,0.91,11.39,3.358,1.374,69.183,44.021
99,2190,1988,71,89,281,4336,84.000,2.24,11.39,3.996,1.367,73.793,50.632
99,2190,1988,71,89,281,4336,84.000,2.24,11.39,3.996,1.367,73.793,50.632
98,2178,1990,71,91,280,4336,82.000,2.72,11.39,3.910,1.368,73.353,48.396
99,2190,1988,72,90,281,4336,95.000,2.61,11.39,3.811,1.368,73.060,47.298
99,2182,1988,71,90,280,4336,100.000,1.34,11.39,3.681,1.369,73.033,48.715
99,2213,1988,71,90,280,4337,101.000,3.66,11.39,3.785,1.372,72.522,49.168
99,2207,1988,71,89,280,4337,101.000,3.74,11.39,3.575,1.369,72.005,48.805
99,2209,1990,72,90,281,4337,100.000,0.46,11.39,3.815,1.369,73.393,50.826
99,2204,1988,71,89,280,4337,99.000,4.16,11.39,3.613,1.368,72.282,49.220
99,2202,1988,72,89,281,4337,99.000,4.24,11.39,3.880,1.367,73.255,50.232
99,2205,1988,71,89,280,4337,103.000,0.55,11.39,3.454,1.367,72.393,49.317
99,2209,1988,71,89,280,4337,103.000,3.59,11.39,3.568,1.365,73.636,50.862
99,2217,1988,71,90,280,4337,104.000,4.64,11.39,3.502,1.367,73.286,50.000
97,2267,1988,71,89,280,4337,97.000,3.91,11.39,3.583,1.366,74.061,51.387
99,2248,1988,71,89,282,4337,86.000,1.63,11.39,3.636,1.367,73.940,50.261
86,2144,1984,71,88,273,4337,90.000,3.46,11.39,4.004,1.366,75.748,51.526
88,2134,1986,71,88,270,4337,90.000,2.52,11.39,3.771,1.365,74.467,49.876
89,2187,1988,71,87,275,4337,92.000,3.64,11.39,3.635,1.367,74.623,50.317
99,2218,1988,72,89,280,4338,86.000,1.46,11.39,3.766,1.367,74.195,49.986
93,2188,1988,72,90,280,4338,90.000,3.54,11.39,4.047,1.365,75.708,51.125
93,2240,1990,71,88,281,4338,87.000,3.93,11.39,4.020,1.363,75.741,50.982
96,2242,1988,72,89,281,4338,90.000,0.02,11.39,3.937,1.363,76.025,51.509
90,2169,1986,72,91,280,4338,89.000,2.94,11.39,3.881,1.364,74.929,50.427
90,2169,1986,72,91,280,4339,91.000,2.88,11.39,3.863,1.363,75.549,51.081
