GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
3,27,480,46,47,25,1158,N/A,1.38,9.59,0.575,1.212,53.986,3.397
6,42,126,45,47,26,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
2,15,202,45,48,25,1158,N/A,0.42,9.57,0.575,1.212,53.986,3.397
2,15,202,45,48,25,1158,N/A,0.82,9.57,0.575,1.212,53.986,3.397
6,37,384,45,47,27,1158,N/A,1.65,9.57,0.575,1.212,53.986,3.397
5,40,252,45,47,24,1158,N/A,0.75,9.56,0.575,1.212,53.986,3.397
11,68,560,45,48,25,1158,N/A,0.00,9.55,0.575,1.212,53.986,3.397
5,39,200,45,47,25,1158,N/A,1.20,9.56,0.575,1.212,53.986,3.397
1,12,660,46,47,26,1158,N/A,1.34,9.56,0.575,1.212,53.986,3.397
5,34,316,45,47,27,1158,N/A,1.21,9.56,0.575,1.212,53.986,3.397
1,11,242,45,47,24,1158,N/A,0.38,9.55,0.575,1.212,53.986,3.397
7,48,204,45,47,26,1158,N/A,0.00,9.55,0.575,1.212,53.986,3.397
3,22,510,45,47,25,1158,N/A,0.61,9.56,0.575,1.212,53.986,3.397
0,8,556,45,47,27,1158,N/A,1.51,9.56,0.575,1.212,53.986,3.397
3,25,220,45,47,24,1158,N/A,0.96,9.56,0.575,1.212,53.986,3.397
1,12,302,45,47,26,1158,N/A,1.01,9.56,0.575,1.212,53.986,3.397
4,29,398,45,48,25,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
1,13,256,45,47,24,1158,N/A,0.44,9.56,0.575,1.212,53.986,3.397
6,38,210,45,47,23,1158,N/A,0.79,9.55,0.575,1.212,53.986,3.397
1,13,194,45,47,24,1158,N/A,1.43,9.56,0.575,1.212,53.986,3.397
0,6,192,45,47,23,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
1,23,192,45,47,23,1158,N/A,0.76,9.56,0.575,1.212,53.986,3.397
0,8,192,45,47,22,1158,N/A,0.56,9.56,0.575,1.212,53.986,3.397
3,24,192,45,47,23,1158,N/A,1.08,9.55,0.575,1.212,53.986,3.397
0,10,192,45,47,22,1158,N/A,0.83,9.56,0.575,1.212,53.986,3.397
3,37,192,45,47,21,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
4,38,150,45,47,23,1158,N/A,0.19,9.55,0.575,1.212,53.986,3.397
2,22,192,45,47,22,1158,N/A,0.87,9.56,0.575,1.212,53.986,3.397
4,31,1034,45,48,23,1158,N/A,0.98,9.55,0.575,1.212,53.986,3.397
0,9,192,45,47,21,1158,N/A,0.63,9.56,0.575,1.212,53.986,3.397
4,30,370,45,48,24,1158,N/A,0.00,9.56,0.575,1.212,53.986,3.397
1,11,192,45,47,21,1158,N/A,0.69,9.55,0.575,1.212,53.986,3.397
11,65,692,45,47,25,1158,N/A,3.18,9.56,1.141,1.249,51.854,8.423
10,61,532,45,47,22,1158,N/A,6.25,9.55,3.842,1.338,55.809,14.609
4,26,480,45,47,26,1158,N/A,3.88,9.56,3.746,1.343,57.062,15.523
1,18,274,45,47,23,1158,N/A,3.42,9.56,3.629,1.325,55.244,13.401
1,13,518,45,48,25,1158,N/A,1.95,9.56,3.294,1.348,56.614,15.505
4,37,670,46,47,24,1158,N/A,1.07,9.56,1.660,1.275,51.514,9.530
5,44,474,45,47,24,1158,N/A,1.08,9.56,1.135,1.254,51.000,8.123
4,27,374,45,48,25,1158,N/A,3.69,9.56,1.208,1.260,51.000,7.833
2,27,124,45,47,24,1158,N/A,14.05,9.56,5.236,1.354,66.726,18.085
6,43,728,45,47,24,1158,N/A,33.36,9.56,5.303,1.350,88.593,26.603
0,5,198,45,47,23,1158,N/A,72.75,9.56,5.025,1.208,83.270,59.577
0,5,198,45,47,23,1158,N/A,72.75,9.56,5.025,1.208,83.270,59.577
7,50,144,45,48,22,1158,N/A,28.38,9.56,5.025,1.208,83.270,59.577
2,15,440,45,48,26,1158,N/A,1.29,9.56,2.651,1.242,62.306,29.493
0,8,580,45,47,25,1158,N/A,0.00,9.63,1.136,1.259,51.367,7.154
6,51,334,45,47,26,1158,N/A,3.01,9.64,3.336,1.273,59.501,33.406
2,16,718,45,48,24,1158,N/A,0.92,9.60,4.316,1.372,73.201,47.799
4,27,590,45,47,25,1158,N/A,2.61,9.61,3.501,1.365,62.505,28.048
16,496,604,46,48,27,1158,N/A,0.51,9.62,3.360,1.359,62.602,24.706
2,17,618,45,48,27,1158,N/A,3.34,9.63,2.450,1.301,54.520,13.975
0,7,370,45,47,28,1158,N/A,4.42,9.61,2.184,1.335,59.760,18.850
5,36,196,45,47,24,1158,N/A,4.58,9.62,3.688,1.372,67.514,21.436
1,9,192,45,47,23,1158,N/A,2.31,9.62,3.878,1.383,67.708,23.190
0,5,470,45,48,25,1158,N/A,3.24,9.61,2.790,1.365,60.407,20.860
2,15,192,45,47,22,1158,N/A,3.70,9.61,4.579,1.344,59.043,17.271
0,7,192,45,47,24,1158,N/A,4.91,9.61,3.007,1.327,55.817,14.447
2,15,192,45,47,23,1158,N/A,2.62,9.62,4.516,1.336,57.959,15.603
0,6,192,45,47,23,1158,N/A,0.00,9.61,1.463,1.279,52.103,9.842
2,14,192,45,47,22,1158,N/A,0.90,9.61,1.023,1.254,51.000,6.594
0,8,194,45,47,25,1158,N/A,6.27,9.60,1.635,1.270,51.000,9.188
4,26,192,45,47,23,1158,N/A,14.59,9.61,4.931,1.350,66.547,17.693
0,6,192,45,47,22,1158,N/A,31.19,9.61,5.301,1.353,89.366,28.105
6,37,246,45,47,23,1158,N/A,69.87,9.61,5.028,1.209,83.424,59.738
0,8,192,45,47,22,1158,N/A,31.22,9.60,5.028,1.209,83.424,59.738
23,495,116,45,47,23,1339,64.000,6.57,9.85,2.866,1.228,60.477,26.004
4,77,1990,46,50,51,1339,60.000,6.13,9.84,4.206,1.372,64.454,29.974
2,19,906,46,50,45,1339,60.000,6.77,9.85,3.680,1.359,61.279,20.160
2,29,1848,45,49,44,1339,60.000,5.06,9.84,3.514,1.346,58.806,15.120
1,23,1874,46,49,45,1341,60.000,7.11,9.89,3.766,1.348,59.293,15.602
1,17,1922,46,49,38,1341,6.000,6.57,9.96,3.478,1.358,60.313,17.048
0,4,1346,45,49,37,1341,6.000,6.91,10.02,4.401,1.387,82.004,22.341
0,8,1568,46,49,35,1341,6.000,6.21,10.08,5.075,1.378,83.340,28.350
0,14,1770,45,49,40,1341,4.000,6.55,10.15,4.175,1.380,82.528,25.331
0,15,2170,46,49,42,1341,15.000,7.56,10.25,3.472,1.385,80.761,21.740
7,143,1464,46,49,48,1485,30.000,1.07,10.28,5.058,1.386,81.622,22.993
6,55,1342,45,49,42,1656,30.000,1.63,10.29,2.940,1.359,63.536,16.699
6,55,1342,45,49,42,1656,30.000,1.63,10.29,2.940,1.359,63.536,16.699
3,34,1338,45,49,41,1975,30.000,1.43,10.33,3.441,1.353,62.388,16.731
3,63,1332,46,49,42,2132,30.000,1.50,10.34,3.432,1.364,64.577,17.001
4,63,1340,46,49,41,2277,30.000,0.00,10.35,3.343,1.355,63.101,16.180
