GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
14,299,530,47,50,36,3453,0.000,5.59,11.31,4.325,1.377,65.306,22.331
11,245,1122,48,51,37,3585,0.000,5.26,11.35,4.301,1.354,62.262,16.398
2,30,1152,47,50,31,3647,2.000,4.96,11.41,4.454,1.354,62.377,16.308
0,19,364,47,50,32,3652,22.000,5.46,11.46,4.887,1.378,69.729,23.804
1,21,1212,47,51,36,3669,25.000,6.27,11.53,3.972,1.380,78.214,29.917
0,8,354,47,50,33,3675,29.000,6.78,11.63,4.622,1.376,74.216,31.766
0,9,666,47,50,31,3684,29.000,4.48,11.71,4.141,1.382,72.939,31.952
0,10,880,47,51,34,3688,26.000,6.80,11.82,4.860,1.384,72.338,27.249
1,26,532,47,50,37,3695,28.000,5.03,11.92,4.669,1.392,75.282,25.120
0,8,2402,48,52,42,3695,29.000,6.22,12.01,4.909,1.389,73.345,28.652
0,6,880,47,50,31,3695,25.000,3.12,12.11,3.626,1.396,72.220,25.250
0,22,312,47,50,33,3701,23.000,5.57,12.19,3.921,1.391,72.252,19.548
0,11,658,48,50,32,3703,29.000,7.79,12.33,3.984,1.388,70.041,21.151
0,6,446,47,50,28,3703,4.000,9.33,12.51,4.281,1.395,74.031,23.834
9,232,710,47,50,36,4064,7.000,2.84,12.41,3.794,1.407,75.390,21.385
0,13,364,47,50,32,4110,6.000,6.27,12.50,3.815,1.363,64.625,17.862
0,7,296,47,50,29,4707,6.000,4.73,12.50,3.432,1.358,63.492,17.152
0,7,296,47,50,29,4707,1.000,5.77,12.49,3.432,1.358,63.492,17.152
0,5,504,47,49,26,4723,10.000,0.00,12.40,3.432,1.358,63.492,17.152
0,4,428,48,50,27,4723,10.000,2.45,12.41,3.432,1.358,63.492,17.152
0,5,342,47,49,28,4723,10.000,1.07,12.42,3.432,1.358,63.492,17.152
