GPU 1 UTIL,GPU 1 SCLK,GPU 1 MCLK,GPU 1 TEMP,GPU 1 Hotspot,GPU 1 PWR,GPU VRAM 1 UTIL,FPS,CPU UTIL,RAM UTIL,CPU FREQUENCY,CPU VOLTAGE,CPU TEMPERATURE,CPU POWER
14,293,432,49,52,38,3460,0.000,2.55,10.80,4.039,1.354,62.202,16.539
14,160,814,49,52,38,3587,0.000,5.20,10.83,4.042,1.354,61.510,15.483
14,160,814,49,52,38,3663,1.000,6.07,10.88,3.840,1.353,60.752,18.297
10,215,868,49,52,34,3669,23.000,6.91,10.94,3.509,1.371,67.414,21.535
1,18,1056,49,52,33,3685,25.000,3.22,11.01,4.237,1.379,74.916,30.740
5,81,710,49,51,34,3692,28.000,6.31,11.10,3.456,1.372,74.069,31.641
4,55,426,49,51,31,3700,29.000,5.64,11.20,3.777,1.380,73.708,32.752
1,29,146,49,51,31,3705,27.000,5.88,11.30,3.355,1.382,70.766,28.202
0,15,688,49,51,32,3712,28.000,5.02,11.39,3.587,1.383,72.667,25.572
2,28,274,48,51,30,3712,30.000,4.32,11.50,4.347,1.357,74.576,54.492
1,24,1130,49,52,38,3712,25.000,7.28,11.58,3.808,1.394,73.386,25.011
0,4,206,48,51,31,3718,22.000,6.63,11.66,3.450,1.398,73.206,20.913
0,6,664,49,52,35,3720,27.000,3.26,11.80,3.465,1.390,70.771,21.132
0,7,692,49,51,28,3720,2.000,7.26,11.97,3.810,1.397,73.728,20.099
0,7,614,48,51,26,4080,7.000,6.13,11.88,4.846,1.409,75.348,22.090
6,83,904,49,51,37,4127,6.000,5.03,11.98,4.413,1.372,65.124,21.894
44,1397,1962,49,53,38,4724,6.000,3.38,11.91,5.514,1.350,57.191,17.126
0,5,454,49,52,28,4724,2.000,4.99,11.89,3.210,1.379,67.048,22.438
0,5,274,49,52,32,4740,21.000,1.65,11.89,4.132,1.392,74.092,22.672
0,3,192,48,51,26,4740,21.000,2.13,11.89,2.252,1.379,62.866,27.908
0,12,668,49,50,27,4740,21.000,1.73,11.89,1.944,1.379,63.050,27.527
0,4,192,48,51,26,4743,21.000,0.21,11.91,2.616,1.379,63.929,27.993
0,4,284,48,51,27,4803,1.000,4.35,11.94,2.482,1.382,66.963,29.652
98,2282,1990,58,78,280,4823,99.000,2.41,11.94,2.983,1.380,68.887,25.709
99,2227,1990,61,78,281,4836,98.000,0.32,11.94,2.826,1.341,57.259,32.612
99,2223,1988,62,80,281,4841,97.000,2.92,11.94,2.987,1.348,57.589,33.125
98,2225,1988,62,81,280,4850,95.000,2.15,11.94,2.718,1.346,57.212,32.663
99,2222,1990,62,82,281,4852,93.000,0.00,11.95,3.050,1.344,57.604,32.197
99,2214,1990,63,81,281,4861,92.000,4.04,11.94,2.712,1.341,56.511,31.449
99,2216,1988,63,83,280,4864,90.000,2.53,11.94,2.989,1.352,58.717,33.617
98,2222,1988,63,82,281,4867,88.000,2.03,11.94,2.775,1.337,56.393,30.909
99,2213,1988,63,82,281,4869,88.000,1.52,11.94,2.706,1.346,57.870,32.418
99,2211,1990,63,82,281,4871,88.000,1.33,11.94,2.578,1.331,56.005,30.001
99,2211,1988,64,83,280,4872,90.000,2.91,11.94,2.942,1.346,57.626,32.461
99,2216,1988,63,83,280,4872,89.000,3.82,11.88,2.655,1.332,56.352,31.093
99,2213,1988,64,82,281,4873,90.000,0.00,11.88,2.917,1.338,57.514,31.209
99,2223,1988,64,83,280,4875,84.000,3.33,11.88,2.712,1.339,57.121,32.020
99,2215,1988,64,83,281,4876,78.000,2.94,11.88,2.829,1.336,57.217,30.582
98,2191,1988,64,84,280,4876,77.000,0.32,11.88,2.593,1.343,57.307,31.665
99,2180,1988,65,84,281,4876,75.000,1.48,11.88,2.576,1.335,56.601,29.447
99,2181,1988,65,84,279,4876,74.000,2.93,11.88,2.217,1.328,55.571,29.001
99,2173,1988,65,85,281,4876,73.000,2.61,11.88,2.897,1.336,57.481,30.387
99,2177,1988,65,87,281,4877,71.000,0.00,11.88,2.492,1.336,56.188,29.389
98,2183,1988,65,85,280,4877,71.000,1.90,11.88,2.515,1.344,57.481,30.552
99,2183,1988,66,86,281,4877,71.000,3.14,11.88,2.442,1.331,56.230,29.233
99,2182,1988,65,85,281,4877,72.000,2.20,11.88,2.349,1.329,57.057,29.381
99,2186,1988,66,86,281,4882,74.000,0.89,11.88,2.405,1.326,56.076,28.375
99,2243,1988,65,86,280,4887,84.000,3.42,11.88,2.875,1.349,58.745,33.195
99,2230,1990,66,84,280,4889,84.000,3.20,11.88,3.699,1.379,65.717,46.159
99,2229,1988,66,84,280,4890,84.000,1.28,11.88,3.778,1.379,67.059,46.648
99,2233,1990,65,84,281,4892,84.000,4.22,11.88,3.733,1.379,67.149,46.764
99,2228,1988,66,84,281,4894,84.000,5.07,11.88,3.806,1.380,67.496,47.156
99,2222,1988,65,84,280,4894,84.000,2.09,11.88,3.930,1.381,68.073,48.707
99,2225,1990,65,84,280,4895,85.000,4.99,11.87,4.119,1.382,68.800,48.078
99,2240,1988,66,84,280,4898,82.000,4.55,11.88,3.923,1.377,67.474,46.111
99,2187,1990,66,85,282,4898,73.000,5.29,11.87,4.081,1.374,68.053,46.896
99,2199,1988,66,85,280,4898,73.000,1.47,11.88,3.775,1.359,66.154,43.333
99,2197,1988,66,84,281,4898,73.000,4.03,11.87,3.797,1.366,66.639,44.864
99,2202,1988,66,85,280,4900,73.000,3.28,11.88,3.623,1.355,65.655,43.638
99,2196,1990,66,85,282,4901,74.000,1.96,11.87,3.865,1.384,67.948,47.507
97,2264,1988,66,84,281,4903,64.000,3.26,11.88,3.860,1.363,67.052,44.776
89,2132,1986,66,84,280,4904,47.000,5.34,11.87,3.763,1.371,66.869,46.294
90,2218,1988,66,84,281,4905,47.000,1.40,11.88,4.192,1.379,69.872,50.883
97,2255,1988,66,85,282,4906,47.000,3.91,11.87,4.054,1.382,69.510,50.592
88,2171,1986,67,85,279,4906,48.000,3.30,11.88,4.153,1.378,70.024,50.801
98,2259,1988,66,85,281,4906,48.000,2.79,11.87,4.071,1.382,69.744,50.466
99,2275,1990,66,86,281,4906,48.000,1.14,11.87,4.722,1.376,71.791,51.853
97,2263,1988,67,85,279,4906,48.000,2.36,11.87,3.986,1.383,69.937,51.590
97,2264,1990,66,85,280,4907,50.000,3.07,11.87,4.092,1.385,70.768,51.653
98,2269,1990,67,84,279,4909,50.000,0.00,11.87,4.098,1.375,69.863,50.179
99,2261,1988,67,85,280,4911,49.000,3.77,11.87,4.180,1.382,70.688,51.785
93,2173,1988,67,85,279,4911,49.000,2.35,11.87,4.170,1.379,70.230,50.977
93,2173,1988,67,85,279,4911,49.000,2.35,11.87,4.170,1.379,70.230,50.977
93,2173,1988,67,85,279,4911,48.000,0.14,11.87,4.206,1.379,70.621,51.064
99,2247,1988,67,86,282,4912,48.000,2.39,11.87,4.151,1.381,70.418,50.975
89,2093,1986,67,86,278,4912,48.000,3.52,11.87,4.303,1.372,70.806,50.758
94,2247,1986,67,86,281,4912,48.000,4.29,11.87,3.931,1.385,71.209,51.581
76,1947,1986,67,88,279,4912,48.000,1.12,11.87,3.939,1.376,71.301,51.112
93,2251,1988,66,85,280,4912,48.000,3.68,11.87,3.909,1.381,70.561,51.335
98,2255,1988,67,85,281,4912,49.000,4.32,11.87,4.108,1.378,71.097,50.959
99,2241,1988,68,85,281,4913,53.000,2.68,11.87,3.744,1.379,70.680,50.765
98,2262,1988,67,85,280,4914,76.000,3.77,11.87,4.053,1.379,71.166,51.830
99,2246,1988,67,85,280,4914,75.000,3.47,11.87,3.894,1.372,71.557,50.261
99,2245,1988,67,85,280,4914,74.000,0.75,11.87,4.051,1.375,72.774,50.881
99,2245,1990,67,85,280,4915,73.000,4.08,11.87,4.057,1.375,72.165,50.202
98,2257,1990,67,85,280,4916,72.000,3.16,11.87,4.044,1.373,71.886,49.968
99,2243,1988,67,85,281,4917,71.000,0.30,11.87,3.819,1.375,71.318,48.950
99,2228,1988,67,85,280,4917,69.000,3.78,11.87,3.788,1.373,71.433,49.271
98,2259,1990,68,86,281,4917,66.000,3.55,11.87,3.839,1.374,71.017,48.915
95,2197,1988,68,85,279,4920,66.000,1.11,11.88,4.130,1.372,72.129,51.480
97,2240,1990,68,87,282,4921,65.000,4.82,11.88,4.043,1.371,71.253,49.437
97,2251,1988,67,86,280,4921,65.000,3.74,11.88,4.109,1.371,71.501,50.233
96,2201,1988,68,86,280,4921,65.000,2.89,11.88,3.960,1.372,71.604,49.786
97,2239,1990,67,86,280,4921,60.000,3.31,11.88,4.241,1.372,72.664,51.058
99,2185,1988,68,87,279,4921,58.000,3.66,11.88,3.233,1.358,67.115,41.400
99,2192,1988,69,87,281,4921,58.000,0.41,11.88,3.372,1.363,64.891,38.601
99,2188,1988,68,87,280,4922,58.000,2.42,11.88,3.066,1.363,64.346,38.108
99,2187,1990,68,87,281,4922,58.000,2.34,11.88,3.538,1.363,65.428,39.476
99,2199,1988,69,88,280,4924,57.000,3.23,11.88,3.334,1.361,65.564,39.485
99,2181,1988,69,87,279,4925,57.000,4.88,11.88,3.632,1.371,67.344,42.444
99,2204,1988,69,88,281,4925,58.000,1.90,11.88,3.691,1.371,67.821,42.737
99,2187,1990,68,90,282,4925,57.000,4.83,11.88,4.235,1.375,70.711,46.486
99,2189,1988,68,88,280,4926,57.000,4.01,11.88,4.126,1.368,69.996,45.062
98,2197,1988,68,88,280,4926,56.000,3.28,11.89,4.423,1.372,72.741,49.094
